avg_red,avg_green,avg_blue,std_red,std_green,std_blue,green_ratio,disease_ratio,brown_ratio,yellow_ratio,texture_contrast,texture_energy,brightness,saturation,label,treatment
153.3936,147.5992,145.1982,18.5851,19.2243,30.0965,0.1791,0.2672,0.0975,0.1042,0.0348,0.3712,162.6794,0.1589,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
120.1182,96.0927,53.6853,46.2726,33.0332,23.9365,0.1967,0.224,0.1591,0.0848,0.0493,0.3005,90.2777,0.3516,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
128.8294,87.6395,57.6373,49.5319,34.3327,21.4401,0.2062,0.2847,0.2561,0.0938,0.0643,0.3159,92.3574,0.5094,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
173.0137,152.4573,134.4006,22.0524,24.7764,29.607,0.1883,0.2435,0.0573,0.0689,0.0375,0.4238,153.2556,0.1501,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
102.6183,95.0395,51.5638,47.7011,39.4521,30.0611,0.1941,0.4383,0.3093,0.0315,0.0588,0.2419,91.6949,0.5847,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
81.5874,158.8587,66.7893,29.315,32.403,23.6364,0.5843,0.0823,0.0381,0.0267,0.0204,0.2949,99.5817,0.4612,Healthy,No treatment needed. Continue regular maintenance and monitoring.
129.6862,116.3976,29.6639,48.5792,48.9446,16.9144,0.38,0.1843,0.1099,0.1887,0.0507,0.2572,86.5843,0.4743,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
95.0888,138.117,47.0737,27.3392,31.9632,24.6911,0.5841,0.0925,0.0145,0.0513,0.0213,0.4354,99.442,0.5861,Healthy,No treatment needed. Continue regular maintenance and monitoring.
114.1545,98.6203,74.0596,41.4281,55.1742,25.0261,0.2629,0.2594,0.1308,0.1364,0.0864,0.3418,86.5584,0.4999,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
109.729,161.3301,57.5104,34.8579,38.2269,30.4745,0.4728,0.1006,0.0712,0.0,0.0141,0.2984,92.3059,0.5631,Healthy,No treatment needed. Continue regular maintenance and monitoring.
111.1516,108.3843,55.2017,35.7413,38.8215,36.7849,0.3096,0.3165,0.2738,0.0863,0.0625,0.2363,91.8708,0.5018,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
136.0845,128.4873,53.1737,49.6168,45.0531,30.4502,0.2978,0.1779,0.1505,0.1256,0.0808,0.296,112.1075,0.437,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
104.6016,78.1106,41.7932,47.3705,35.2854,23.9744,0.2497,0.3584,0.2002,0.0862,0.0457,0.2453,90.8318,0.5546,Cercospora Leaf Spot,Apply Mancozeb or Chlorothalonil. Rotate crops. Remove infected debris after harvest.
112.7374,88.405,53.597,47.949,37.9536,29.2279,0.3888,0.2994,0.2339,0.0647,0.0498,0.2566,86.1699,0.468,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
182.184,139.3083,143.2839,31.2674,27.3964,30.8784,0.1413,0.1809,0.0754,0.1602,0.0265,0.363,130.4183,0.1408,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
124.3063,108.3639,57.1383,43.792,42.5194,24.6859,0.3043,0.2808,0.1648,0.0398,0.0433,0.2964,82.058,0.4083,Cercospora Leaf Spot,Apply Mancozeb or Chlorothalonil. Rotate crops. Remove infected debris after harvest.
81.3067,138.2873,62.4938,37.8873,34.5235,26.1161,0.5986,0.0856,0.0411,0.0339,0.0254,0.3389,96.3297,0.478,Healthy,No treatment needed. Continue regular maintenance and monitoring.
89.2503,83.7555,50.8257,37.7268,18.7181,29.2971,0.1358,0.3854,0.2516,0.1635,0.072,0.2398,78.6814,0.5702,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
84.3751,124.9275,44.4097,54.4036,43.6409,24.7434,0.348,0.1907,0.0905,0.089,0.0842,0.3328,95.0491,0.3436,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
143.6718,99.5533,52.1205,36.9637,33.999,27.5969,0.297,0.4743,0.1387,0.3738,0.0405,0.2137,78.8459,0.6504,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
151.3365,99.4057,42.0624,41.4378,29.1797,20.568,0.177,0.3266,0.0656,0.3804,0.0431,0.2965,109.6191,0.4728,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
75.1814,166.3858,49.9398,23.9291,40.7906,28.1667,0.5999,0.0989,0.0498,0.0121,0.0204,0.3529,104.7512,0.5112,Healthy,No treatment needed. Continue regular maintenance and monitoring.
156.8679,155.1131,143.6357,22.6434,25.7705,29.28,0.1762,0.2591,0.0337,0.1016,0.0313,0.4264,152.8417,0.2255,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
78.8336,119.1118,59.3732,34.7757,30.0714,27.0162,0.5076,0.0562,0.0479,0.0093,0.0172,0.3321,114.6473,0.5221,Healthy,No treatment needed. Continue regular maintenance and monitoring.
111.3711,118.4544,48.6098,54.5646,53.8746,18.9586,0.2608,0.3359,0.1175,0.2338,0.0876,0.3007,102.1702,0.4559,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
113.4723,115.6812,63.5728,37.3529,38.2444,22.0548,0.3562,0.2547,0.1751,0.1369,0.0375,0.3634,98.7986,0.4319,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
106.4911,86.4066,57.803,39.9341,38.5124,26.0687,0.1731,0.1862,0.2313,0.0632,0.0534,0.3078,99.3875,0.4364,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
144.0349,99.5379,53.125,40.9373,35.2623,25.1193,0.2012,0.4741,0.1185,0.3394,0.0643,0.1949,96.91,0.6185,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
171.2366,152.6887,130.726,24.544,23.6401,39.7647,0.131,0.2567,0.0596,0.0953,0.0291,0.4142,163.7307,0.2044,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
99.3559,95.3355,49.8766,51.6065,48.0735,24.7578,0.1422,0.3277,0.2635,0.0657,0.051,0.2808,92.1825,0.5,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
119.1069,108.6373,68.6143,22.1628,37.3158,36.2601,0.3938,0.1585,0.1339,0.1619,0.0401,0.2387,93.9783,0.3881,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
157.9799,157.8736,123.5499,31.3797,24.9509,31.4196,0.1569,0.1837,0.0479,0.1088,0.0354,0.4281,158.4672,0.1665,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
115.0938,99.1524,54.434,46.8543,36.3558,29.1392,0.1658,0.3497,0.2918,0.1299,0.0655,0.2443,93.0704,0.4398,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
72.3558,118.983,69.5031,38.5531,34.4778,24.3247,0.5556,0.1149,0.0315,0.0348,0.0249,0.4,96.8958,0.5801,Healthy,No treatment needed. Continue regular maintenance and monitoring.
160.7033,140.2661,136.1611,30.5633,26.2752,29.8954,0.2558,0.182,0.0378,0.1685,0.0304,0.4079,143.008,0.1979,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
107.0728,110.9959,57.3537,47.6843,54.1634,31.6653,0.2811,0.2316,0.1395,0.1715,0.076,0.2972,98.8429,0.3873,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
116.8822,97.5682,55.6347,47.2693,29.2914,21.5828,0.2084,0.3486,0.2165,0.1274,0.0838,0.2674,85.7591,0.531,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
123.5952,78.1556,57.7009,39.8771,31.8407,27.3172,0.2664,0.3237,0.286,0.0314,0.0442,0.3117,82.987,0.3683,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
114.839,95.5056,47.1606,33.256,34.6593,28.7735,0.1991,0.3209,0.315,0.1107,0.0797,0.2956,99.3401,0.4138,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
94.4296,141.3819,50.3302,29.7614,34.982,20.3665,0.6703,0.1063,0.0456,0.0305,0.021,0.2983,92.5282,0.4791,Healthy,No treatment needed. Continue regular maintenance and monitoring.
175.7941,152.6172,115.2631,26.7215,30.0986,34.6236,0.1535,0.2543,0.0493,0.0672,0.0376,0.3601,146.0618,0.1358,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
76.8833,162.0141,59.5984,22.8461,35.6405,22.2758,0.6173,0.0604,0.0411,0.0,0.0177,0.283,79.161,0.5656,Healthy,No treatment needed. Continue regular maintenance and monitoring.
103.9549,127.1571,55.7981,28.5911,28.2777,21.3254,0.4697,0.057,0.0493,0.0347,0.0278,0.3401,104.8432,0.5072,Healthy,No treatment needed. Continue regular maintenance and monitoring.
82.2473,134.3478,44.6889,32.5713,37.8603,24.7512,0.6399,0.07,0.0613,0.0096,0.0199,0.373,97.2531,0.4978,Healthy,No treatment needed. Continue regular maintenance and monitoring.
93.2028,114.5107,72.1194,31.3063,33.1536,25.5736,0.4079,0.0923,0.0294,0.0029,0.0124,0.4245,88.7074,0.612,Healthy,No treatment needed. Continue regular maintenance and monitoring.
152.2417,165.1613,140.228,22.915,27.4736,26.3627,0.2055,0.2606,0.0481,0.1211,0.0344,0.4779,164.6615,0.1997,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
115.1826,80.9725,64.1205,39.9775,37.7064,29.7861,0.292,0.3857,0.244,0.0542,0.0861,0.2878,88.8213,0.4982,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
118.1141,84.5492,51.1153,34.8033,38.413,24.4807,0.1798,0.3599,0.2579,0.1353,0.0407,0.257,78.1576,0.5322,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
97.3614,126.7426,56.4693,39.7246,51.2141,24.4993,0.3564,0.1864,0.0952,0.2686,0.0774,0.2568,85.8658,0.39,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
163.5577,101.9463,41.3358,42.3767,29.6832,26.0865,0.1672,0.317,0.1136,0.3456,0.0438,0.1961,94.5489,0.5481,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
141.4329,110.5972,49.1655,34.6023,39.9853,26.5094,0.1635,0.3306,0.1976,0.2912,0.0278,0.194,97.7557,0.4802,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
143.1847,113.7261,41.7704,44.1457,23.0446,17.9208,0.269,0.365,0.1583,0.2192,0.0685,0.2976,98.1938,0.5257,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
149.4584,125.0071,28.0081,42.0681,45.6779,23.1281,0.3025,0.3422,0.1487,0.302,0.0278,0.2033,90.1281,0.5993,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
145.9485,101.6899,35.7312,30.9218,32.4296,25.5906,0.2828,0.4513,0.1174,0.2308,0.055,0.2754,103.6015,0.4292,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
111.067,110.8064,68.5955,42.5892,41.4068,23.3852,0.3253,0.332,0.2437,0.0606,0.0401,0.3001,73.4928,0.4341,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
138.1145,111.9807,46.7497,39.1659,34.94,18.0879,0.1451,0.4236,0.1777,0.3951,0.0421,0.2777,97.4466,0.6214,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
161.6028,163.108,130.4386,23.1664,26.3975,31.7105,0.2003,0.305,0.0315,0.061,0.0318,0.3838,188.7777,0.2006,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
123.3492,85.6193,63.6736,46.2618,38.992,27.9633,0.2489,0.3331,0.2438,0.0276,0.0535,0.2698,92.0494,0.5097,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
130.4327,85.7477,53.8133,42.3594,41.2152,28.3833,0.2561,0.2723,0.1259,0.0774,0.0608,0.207,78.1304,0.4726,Cercospora Leaf Spot,Apply Mancozeb or Chlorothalonil. Rotate crops. Remove infected debris after harvest.
78.9498,133.7772,63.4768,27.5639,31.6215,25.1366,0.463,0.0474,0.0636,0.007,0.0233,0.3985,77.7419,0.4793,Healthy,No treatment needed. Continue regular maintenance and monitoring.
169.4519,109.4441,40.286,33.733,36.9796,21.5313,0.2987,0.3592,0.1165,0.3537,0.0593,0.2567,106.0872,0.5477,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
163.2885,151.8089,138.7682,30.4544,23.2463,33.058,0.1815,0.2424,0.106,0.0423,0.0403,0.4528,150.2048,0.2452,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
121.5102,98.2065,46.0702,46.047,36.6241,23.6877,0.2224,0.3778,0.2695,0.0891,0.0702,0.2511,79.1051,0.3919,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
171.2057,161.0388,167.6676,20.9377,28.2903,23.4423,0.1863,0.2988,0.0186,0.0918,0.0255,0.3849,158.8521,0.2248,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
98.4745,111.5208,65.8289,46.1531,49.9474,30.7779,0.2358,0.2683,0.1168,0.1007,0.0742,0.2691,104.8737,0.3477,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
99.9613,116.5321,55.3592,42.0005,42.6319,21.0753,0.2446,0.2247,0.109,0.101,0.0679,0.3225,93.5338,0.3883,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
85.5891,112.6662,53.3441,53.5388,40.9439,26.1542,0.3306,0.2669,0.0814,0.1333,0.1193,0.3313,92.597,0.4635,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
130.4041,103.2355,59.9231,35.808,36.3679,26.7174,0.278,0.3413,0.2459,0.1206,0.0465,0.3243,77.0878,0.3649,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
101.7513,86.5416,60.6748,45.1167,37.3074,26.3044,0.2617,0.3828,0.2032,0.0398,0.0689,0.2718,90.2512,0.5304,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
105.3095,81.4031,38.1107,44.9563,39.6225,20.3304,0.1827,0.4197,0.2061,0.1051,0.0577,0.2803,77.295,0.4854,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
96.4445,112.7948,61.7705,27.6825,45.7757,32.2102,0.3544,0.1807,0.1129,0.1485,0.0473,0.3619,89.6384,0.3807,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
162.8649,139.714,140.1763,26.5447,24.3812,33.5694,0.184,0.2239,0.0487,0.1324,0.0248,0.4658,167.2271,0.1133,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
160.8509,116.6017,50.7533,49.0989,34.5846,24.5955,0.1908,0.5271,0.2293,0.3007,0.0539,0.3044,98.6757,0.5106,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
118.3366,100.1623,45.2465,35.2473,45.493,27.3738,0.1511,0.2966,0.3517,0.0273,0.0711,0.2487,76.7835,0.5387,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
82.1161,129.3777,67.1096,32.2213,33.1952,29.6373,0.4635,0.0985,0.0619,0.0238,0.0216,0.33,104.2403,0.5089,Healthy,No treatment needed. Continue regular maintenance and monitoring.
115.1648,95.7573,39.343,44.3894,47.2834,25.1297,0.1403,0.3518,0.1893,0.1259,0.0663,0.2532,82.0195,0.4673,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
152.4803,81.69,43.7566,34.2215,33.987,25.92,0.2353,0.4489,0.1637,0.2221,0.0248,0.256,98.0747,0.4914,Rust,Apply Propiconazole or Tebuconazole. Remove infected plant debris. Choose resistant varieties.
114.0079,116.6534,49.2124,50.058,42.3706,27.9418,0.1194,0.4058,0.2436,0.0867,0.0422,0.2598,85.302,0.4018,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
106.1641,90.0918,53.0502,46.9091,40.012,24.5179,0.2121,0.4062,0.2732,0.1022,0.0596,0.2738,80.7849,0.5293,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
139.8062,89.5068,60.0209,43.323,37.2085,27.2646,0.2293,0.3192,0.2169,0.0872,0.061,0.3119,97.3881,0.3975,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
121.7209,103.6856,45.8847,47.463,32.1938,29.3094,0.207,0.4511,0.1739,0.1529,0.0557,0.2448,86.7535,0.4382,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
103.9553,75.0394,61.968,40.2378,32.7245,23.3417,0.1802,0.3084,0.2389,0.1519,0.052,0.3264,92.6395,0.5038,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
96.8733,93.2149,41.829,49.9259,50.756,24.7387,0.2229,0.2457,0.3811,0.0554,0.0596,0.2281,75.4097,0.4725,Anthracnose,Apply Copper-based fungicide or Azoxystrobin. Remove infected plant parts. Ensure proper spacing.
99.8248,89.6674,66.0174,51.1202,36.1843,31.4176,0.3005,0.41,0.2237,0.1108,0.0917,0.3039,90.3946,0.4861,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
109.6147,92.0915,50.4072,48.2185,43.1694,26.3702,0.3345,0.3274,0.2138,0.0737,0.069,0.293,108.2066,0.4074,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
108.476,97.0163,43.9654,34.0513,40.3157,23.5748,0.2487,0.3097,0.3208,0.13,0.0636,0.2515,92.6717,0.5036,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
105.2001,117.8252,69.5854,29.312,35.9048,29.4162,0.3166,0.2852,0.0994,0.079,0.0389,0.3713,80.4249,0.4227,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
98.4623,169.8006,61.9613,25.4797,27.2552,26.0319,0.6383,0.0943,0.05,0.0182,0.0145,0.4134,104.1377,0.4273,Healthy,No treatment needed. Continue regular maintenance and monitoring.
123.2502,96.3598,53.2491,49.5975,32.799,35.7808,0.1707,0.2841,0.2385,0.0975,0.0588,0.2777,93.2844,0.4384,Leaf Spot,Apply Carbendazim or Copper oxychloride. Improve air circulation. Use disease-free seeds.
115.4492,119.5056,47.7722,43.5456,59.0998,34.7797,0.4166,0.2228,0.1086,0.1866,0.0657,0.2583,95.7561,0.3805,Mosaic Virus,No cure available. Remove and destroy infected plants. Control aphid vectors with Imidacloprid.
133.5678,83.048,39.235,47.7093,35.0418,24.9711,0.2039,0.2712,0.2462,0.1379,0.072,0.2693,95.0104,0.4164,Bacterial Blight,Apply Streptomycin or Copper hydroxide. Use resistant varieties. Avoid field work in wet conditions.
159.7824,158.5194,145.8168,23.7928,35.1215,28.8605,0.1708,0.2102,0.0625,0.1246,0.0396,0.3455,152.54,0.1979,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
155.051,137.5413,151.6632,25.5737,21.6945,28.0389,0.2471,0.2464,0.0564,0.0623,0.0148,0.412,158.2549,0.224,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
123.8931,89.5556,51.7731,37.2541,45.1311,22.3694,0.2238,0.2635,0.2032,0.1111,0.0747,0.254,91.0261,0.4641,Cercospora Leaf Spot,Apply Mancozeb or Chlorothalonil. Rotate crops. Remove infected debris after harvest.
107.615,158.1487,55.1115,24.4019,35.7044,17.9262,0.5759,0.0756,0.0407,0.0,0.0226,0.3587,83.3008,0.3477,Healthy,No treatment needed. Continue regular maintenance and monitoring.
175.5985,146.4315,151.1706,32.2421,29.8598,30.5289,0.1667,0.1736,0.0662,0.0554,0.0237,0.3605,150.3961,0.1789,Powdery Mildew,Apply Sulphur-based fungicide or Karathane. Prune dense canopy. Avoid excess nitrogen.
88.3515,112.3171,84.0078,37.2798,35.1788,45.7661,0.3047,0.1711,0.1624,0.1012,0.0566,0.2952,103.4402,0.3601,Downy Mildew,Apply Metalaxyl or Ridomil Gold. Ensure good drainage. Avoid overhead watering.
